id,x_coord,y_coord
1,406339,623720
2,402865,620246
3,395049,622417
4,679461,604180
5,387233,628930
6,379851,630233
7,397220,626759
8,382022,636312
9,373772,639786
10,375509,633272
11,589578,551205
12,575249,611019
13,555709,618400
14,558315,626216
15,387667,621440
16,402431,623177
17,420234,613624
18,642553,607111
19,676856,606242
20,622579,635769
21,580460,551965
22,590447,557610
23,579591,557176
24,505340,436029
25,543117,440371
26,552236,428213
27,552236,417358
28,573512,432555
29,569604,440371
30,549630,437332
31,586539,449924
32,549196,459043
33,569170,468595
34,509682,449924
35,504472,460780
36,499261,444713
37,504037,442542
38,553972,420397
39,524446,379581
40,517064,381318
41,520104,383489
42,520538,396515
43,600868,519399
44,592184,522438
45,575683,497688
46,585670,505938
47,592618,460345
48,595657,462516
49,586539,454266
50,578289,469030
51,539643,434292
52,544420,452964
53,547459,462516
54,553538,467293
55,561354,441240
56,557012,436898
57,570473,448621
58,596960,525912
59,621710,524175
60,393746,615795
61,395483,625348
62,421536,605808
63,411115,627953
64,518801,607111
65,523577,604505
66,532262,612756
67,567433,616229
68,563091,627953
69,417628,622308
70,688580,605808
71,679461,610150
72,556578,456437
73,580894,494214
74,503169,470332
75,306034,660954
76,467563,596690
77,481892,608413
78,491879,612756
79,397871,619812
80,387884,624588
81,334476,713603
82,562006,613733
83,587624,471309
84,589795,524718
85,531610,434835
86,548545,450901
87,622796,504310
88,588927,479125
89,486886,612864
90,619756,581600
91,616717,582469
92,575032,555113
93,498176,433098
94,569387,437006
95,579374,460888
96,565913,473046
97,583716,469572
98,581111,501270
99,594572,518639
100,596743,576390
101,603690,478691
102,303646,683207
103,403082,634792
104,414372,630450
105,303212,664319
106,559834,621331
107,552887,623937
108,476030,623068
109,486886,615252
110,492097,617423
